英文|中文
Left Arrow|左箭头
Right Arrow|右箭头
Down Arrow|下箭头
Up Arrow|上箭头
Before Version 7|版本7之前
At Editor Launch|在编辑器启动时
Before Last Revert|最后还原前
Before Last Sync|上次同步前
Available in all windows.|在所有窗口均可用。
Available when there is a focused window.|当有一个聚焦窗口时可用。
Available when there is no focused window.|当没有聚焦窗口时可用。
Available when the focused window title is “%@”.|当聚焦窗口标题为“%@”时可用。
Available when the focused window title is not “%@”.|当聚焦窗口标题不为“%@”时可用。







Sub-Menu %d:|副菜单%d：

Application Switcher|应用程序切换器
Window Switcher|窗口切换器
Application Launcher|应用程序启动器







Keyboard Maestro has Switchers Enabled|Keyboard Maestro已启用切换器
Launch Keyboard Maestro|启动Keyboard Maestro
Maybe Later|也许以后
Preference Write Failed|首选项写入失败
Macro Syncing Disabled|禁用宏同步功能
Check For Update|检查更新
Stop Syncing|停止同步
Live Dangerously|危险地生活
Secure Input is Enabled|安全输入被启用

Named Clipboard in Use|命名的剪贴板使用中
Variable in Use|变量使用中
This Will Replace All Your Macros|这将替换您所有的宏
Replace All Macros|替所有宏
Global Macro Group|全局宏组
Global Macro Set|全局宏集合
Switcher Group|切换组
Purchase Keyboard Maestro Upgrade...|购买键盘大师升级...
Untitled Macro File|无标题宏文件
Export Macros|导出宏
%@ Macros|%@宏
%@ and Other Macros|%@和其他宏
Keyboard Maestro Actions|Keyboard Maestro动作
Export Actions|导出动作
Keyboard Maestro Macros|Keyboard Maestro宏
Save Sync File|保存同步文件
Failed to start syncing macros.|无法启动同步宏。
The attempt to start syncing the macros failed (%@).|开始同步宏的尝试失败了（%@）。
Macro Syncing Started|宏同步正在启动
Untitled Library File|无标题库文件
Share Library|共享库
Saved Shared Library|保存共享库



All Entries|所有条目








































Continue Trial|继续试用
Your trial period has ended.|您的试用期已经结束。
Your trial period is coming to an end.|您的试用期即将结束。
You have entered an invalid email address or an invalid serial number.|您输入的电子邮件地址无效或序列号无效。
You have entered an old serial number.|您输入了旧的序列号。








Trial Version|试用版

No Application Selected|没有选中应用





Transform Image|变换图像
Composite onto Image|复合到图像上
Draw Shape onto Image|画形状到图像上
Resize Image|调整图像
Get Image Size|获取图像尺寸
Trim Image|裁剪图像
Display Clipboard|显示剪贴板
Create New Image|建立新的图片
Press a Button|按下一个按钮
Semaphore|信号
Use a Named Clipboard|使用命名剪贴板
Cut Copy Paste|剪切复制粘贴
Set Clipboard to Text|将剪贴板文本
Set Clipboard to Past Clipboard|设置剪贴板过去剪贴板


Copy Clipboard to Clipboard|剪贴板复制到剪贴板
Delete Past Clipboard|删除过去的剪贴板
Filter Clipboard|过滤剪贴板
Search and Replace Clipboard|搜索并替换剪贴板
Apply Style to Clipboard|应用样式到剪贴板
Apply a BBEdit Text Factory|应用一个BBEdit文本厂
Set Variable to Text|设置变量到文本
Set Variable to Keychain Password|设置变量到钥匙串密码
Set Keychain Password to Text|设置钥匙串密码到文本
Set Variable to Safari Field|设置变量到Safari域
Safari Control|Safari浏览器控制
Set Safari Field to Text|设置Safari域到文本
Set Safari Checkbox|设置Safari复选框
Set Safari Radio|设置Safari电台
Set Mail Status|设置邮件状态
Send Mail Message|发送邮件
Set Variable to Calculation|设置变量到计算
Set Action Delay|设置动作延迟
Search and Replace Variable|搜索并替换变量
Search Variable|搜索变量
Search Clipboard|搜索剪贴板
Substring of Variable or Clipboard|变量或剪贴板的子字符串
Use Variable|使用变量
Filter Variable|筛选变量
Prompt for User Input|提示用户输入
























































Write|写入
Append|附加
%@ Clipboard|％@ 剪贴板










































Date Modifiers|修改日期
Owner Name|所有者名称
Owner ID|所有者ID
Group Name|组名称
Group ID|组ID
Posix Permissions|POSIX权限
Extension Hidden|隐藏扩展名
HFS Creator Code|HFS创建者代码
HFS Type Code|HFS类型代码
Tags|标签
Tags (add)|标签（添加）
Tags (toggle)|标签（切换）
Tags (remove)|标签（删除）
File Name|文件名
Base Name|基本名称
Extension|扩展名
Content Type|内容类型
Content Kind|内容种类
Invisible|不可见
Date Added|添加日期
Date Downloaded|下载日期
Date Last Used|上次使用日期
Where From|从哪里
Get %@ to Variable ‘%@’|获取％@变到“％@”









If it Does Not Have Text|如果它没有文本
If it Has an Image|如果它有图像
If it Does Not Have Image|如果它没有图像
If it Exists|如果它存在
If it Does Not Exist|如果它不存在
If it Is Empty|如果它是空的
If it Is Not Empty|如果它不是空的
If it Is “%@”|如果是 ”％@”








Semaphore Lock|信号锁定
Semaphore Unlock|信号解锁
Semaphore Reset|复位信号
Put Computer to Sleep|把电脑进入睡眠
Restart Computer|重新启动计算机
Shut Down Computer|关闭计算机
Log Out|登出
Login Window|登录窗口
Open/Close the CD Tray|打开/关闭CD托盘
Toggle System Sound Mute|切换系统声音静音
Increase System Sound Volume|增加系统音量
Decrease System Sound Volume|降低系统音量
Increase Screen Brightness|提高屏幕亮度
Decrease Screen Brightness|降低屏幕亮度
Start Screen Saver|启动屏幕保护程序
Stop Screen Saver|停止屏幕保护程序
Sleep Screen|睡眠屏幕
Wake Screen|唤醒屏幕
System Beep|系统哔声
Show Global Macro Palette|显示全局宏浮动面板
Hide Global Macro Palette|隐藏全局宏浮动面板
Toggle Global Macro Palette|切换全局宏浮动面板
Show Status Menu|显示状态菜单
Clear Typed String Buffer|清除键入字符串的缓冲区
Debugger Start|调试器启动
Debugger Finish|调试完成
Debugger Toggle|调试器切换
Debugger New Macros Paused|调试器新的宏暂停
Debugger New Macros Run|调试器新的宏运行
Debugger Breakpoint This Macro|断点调试这个宏
Debugger Breakpoint All Other Macros|断点调试所有其他的宏
Debugger Breakpoint All Macros|断点调试所有宏
Debugger Step Over Other Macros|调试步骤比其他宏



Debugger Continue All Macros|调试器继续所有的宏
Play Sound ‘%@’|播放声音 '％@'
Play System Beep|播放系统哔声
Action Completed|动作已完成
Speak Text ‘%@’|朗读文本“％@”



Moderate|中等
Quick|快
Set System Output Volume to %d%%|设置系统输出音量到％d %%已


































Move and Resize a Window|移动和调整窗口大小
Move a Window|移动一个窗口
Select a Window|选择一个窗口
Screen Capture %@|屏幕捕获％@








All Screens|所有屏幕
Main Screen|主屏幕
Screen %@|屏幕％@













Flip Image Vertically|垂直翻转图片
Rotate Image Clockwise|顺时针旋转图片
Rotate Image 180°|图像旋转180°
Rotate Image Counter-Clockwise|逆时针旋转图片
Rotate Image ‘%@’|旋转图像‘%@’







Rotate Image|旋转图像
Get Image %@ of %@|获取图像％@的％@

Pixel Width|像素宽度
Pixel Height|像素高度
Point Size|点大小
Point Width|点宽
Point Height|点高度
Resize Image to Fit|调整图像以适合
Resize Canvas|调整画布
Add or Remove Margins|添加或删除边距
Crop Image|裁剪图片
Resize Image in %@|调整图像在％@







































































































































Set Clipboard to Named Clipboard ‘%@’|设置剪贴板命名剪贴板“％@”






1 second|1秒






MIDI Trigger|MIDI触发
USB Device Trigger|USB设备触发








































Unmounted|卸载







The Focused Window Changes|聚焦窗口更改
The Focused Window Title Changes|聚焦窗口标题更改
The Focused Window’s Title Changed|聚焦窗口的标题更改
The Focused Window’s Frame Changed|聚焦窗口的框架改变
Any Wireless Network is %%@|任何无线网络是%% @





Disconnected|断开的












At Login|在登录时
At Engine Launch|在引擎启动时








The Global Macro Palette|全局宏浮动面板

































































































Modifiers Condition|修饰键条件


































Variable Condition|变量条件



The variable ‘%@’ is not empty|变量'％@'不为空












The text ‘%@’ is not ‘%@’|该文本'％@'不是'％@'










active|活动
inactive|非活动



































(I am running Keyboard Maestro %@ on Mac OS X %@ and have so far saved %@)|（我运行在Mac OS X％@键盘大师％@，并保存至今％@）
Macro Group Not Deleted|宏集团未删除


















































































































































































About Principle|关于Principle
Hide Principle|隐藏Principle
Quit Principle|退出Principle


Record without Cursor|不用游标并记录
Rectangle|长方形
Center Selection|将选择置于中间
Side By Side|并排
Import Images...|导入图像...
Toggle Preview Cursor|切换预览光标
Pick Color|选取颜色
Import From Sketch...|从草图中导入...
Toggle Visibility|切换可见性
Ungroup Layers|取消组合图层
Export for Mac|为Mac导出
Horizontally|水平
Start Preview Recording|开始录制预览
Zoom Selection|缩放选择
Vertically|垂直
Vertical Centers|垂直居中
What's New in This version?|这个版本的新增功能？
Picture In Picture|画中画
Text as Child|文本作为子支
Rewind Preview|倒带预览
Show Drivers|显示驱动程序
Tutorials|教程
Artboard|画板
Contact Customer Support...|联系客户支持...
Feedback...|反馈...
Rectangle as Child|矩形作为子支
Zoom Canvas|放大画布
Rename Layer|重命名图层
Group Layers|图层组
Show Animate|显示动画
Distribute|分布
Little Snitch Configuration|Little Snitch配置
About Little Snitch|关于Little Snitch
Purchase...|购买...
Register...|注册...
Debug Settings...|调试设置...
Restart in Permissive Mode...|在默许模式下重新启动...
Hide Little Snitch Configuration|隐藏Little Snitch配置
Quit Little Snitch Configuration|退出Little Snitch配置
Rules|规则
New Rule...|新建规则...
New Rule for Selection...|为所选新建规则...
Duplicate...|复制...
New Profile...|新建配置文件...
Backup...|备份...
Import from Backup...|从备份导入...
Restore Factory Defaults...|恢复出厂默认值...
Clear Undo History|清除撤消历史
Paste to Selection|粘贴到所选
Edit Rule...|编辑规则...
Approve|允许
Search Rules|搜索规则
Search All Rules|搜索所有规则
Check Spelling as You Type|在您键入时检查拼写
All Rules|所有规则
Last 24 Hours|最近24小时
Temporary Rules|临时规则
Unapproved Rules|未经批准的规则
Background Processes|后台进程
Protected Rules|受保护规则
Global Rules|全局规则
System Rules|系统规则
Incoming Connections|传入连接
Precedence|优先权
Creation Date|创建日期
Focus on Rules Affecting Selection|聚焦影响所选的规则
Show Disabled Rules|显示禁用规则
Refresh Rule List|刷新规则列表
Select Rule List|选择规则列表
Known Networks|已知网络
Little Snitch Help|Little Snitch帮助
Welcome to Little Snitch|欢迎使用Little Snitch
Feedback &amp; Support...|反馈和支持...
Diagnostics Report...|诊断报告...
Don’t show this message again|不要再显示此消息
Debug Settings|调试设置
Admin Mode|管理模式
Filter factory rules|筛选出厂规则
Filter hidden rules|筛选潜规则
Filter rules for current user|为当前用户筛选规则
Read user defaults from daemon|从守护程序读取用户默认
Read rules from daemon|从守护程序读取规则
Autosave Changes|自动保存更改
Changes to these settings require a restart of the application to take effect.|更改这些设置需要应用程序的重新启动才能生效。
Reload Objects|刷新对象
GUI Applications|GUI应用程序
Launch Contexts at login|在登录时启动Contexts
Quit Contexts|退出Contexts
Track applications with no windows|跟踪没有窗口的应用程序
View Versions History|查看历史版本
Show dock icon badges|显示Dock图标徽章
Update to beta versions|更新到测试版
You have version 1.0.|你有1.0版本。
Interface Size:|界面尺寸：
Large|大
Small|小
Contexts will still launch on login if auto-launch is enabled.|如果启用自动启动，Contexts仍然会在登录时启动。
Number of Groups:|组数：
